date,SPY,XLE,XLK,XLU,XLP,IEF,XLI,XLF,XLB,XLV
2012-05-17,102.1130142211914,19.446434020996094,11.533500671386719,11.053301811218262,23.02863883972168,78.46479034423828,26.427766799926758,8.706523895263672,12.2903413772583,28.731481552124023
2012-05-18,101.23904418945312,19.325531005859375,11.425363540649414,11.031498908996582,22.89204978942871,78.41365814208984,26.29674530029297,8.60651969909668,12.241771697998047,28.47882652282715
2012-05-21,102.97915649414062,19.769824981689453,11.708189010620117,11.04395866394043,22.9808349609375,78.20914459228516,26.882488250732422,8.687772750854492,12.600393295288086,28.75516700744629
2012-05-22,103.15866088867188,19.721466064453125,11.670755386352539,11.121819496154785,23.008150100708008,78.0411376953125,26.982683181762695,8.756524085998535,12.521947860717773,28.676204681396484
2012-05-23,103.2132568359375,19.79401206970215,11.68323040008545,11.062647819519043,22.946685791015625,78.24566650390625,27.129108428955078,8.787776947021484,12.671379089355469,28.549869537353516
2012-05-24,103.4161148071289,19.778894424438477,11.616683959960938,11.10624885559082,23.165233612060547,78.07765197753906,27.09828758239746,8.794026374816895,12.749826431274414,28.82622528076172
2012-05-25,103.08059692382812,19.685203552246094,11.591732025146484,11.1436185836792,23.144746780395508,78.30406188964844,26.913311004638672,8.762778282165527,12.697524070739746,28.75516700744629
2012-05-29,104.32911682128906,20.014650344848633,11.745621681213379,11.17788314819336,23.30864906311035,78.23841857910156,27.275556564331055,8.88778018951416,12.917929649353027,28.84990119934082
2012-05-30,102.81529998779297,19.40108871459961,11.670755386352539,11.109363555908203,23.11742401123047,78.98343658447266,26.820823669433594,8.681523323059082,12.686319351196289,28.684101104736328
2012-05-31,102.58901977539062,19.23183250427246,11.616683959960938,11.168538093566895,23.069612503051758,79.29020690917969,26.72063446044922,8.756524085998535,12.634015083312988,28.541990280151367
2012-06-01,100.00615692138672,18.751272201538086,11.313065528869629,11.121819496154785,22.64619255065918,79.97135162353516,25.980749130249023,8.431512832641602,12.3650484085083,28.03667640686035
2012-06-04,99.95930480957031,18.736154556274414,11.379610061645508,11.159192085266113,22.72132110595703,79.51041412353516,25.711002349853516,8.350262641906738,12.376258850097656,28.099842071533203
2012-06-05,100.71620178222656,18.896337509155273,11.450316429138184,11.199682235717773,22.69400405883789,79.24701690673828,25.788070678710938,8.487768173217773,12.495800971984863,28.25775909423828
2012-06-06,102.97915649414062,19.479677200317383,11.712348937988281,11.355409622192383,23.001323699951172,78.7276382446289,26.474016189575195,8.737773895263672,12.80959701538086,28.699892044067383
2012-06-07,103.04161071777344,19.491762161254883,11.654114723205566,11.442611694335938,23.083276748657227,78.91780853271484,26.62044906616211,8.731526374816895,12.832009315490723,28.71567726135254
2012-06-08,103.86091613769531,19.494787216186523,11.783048629760742,11.46752643585205,23.28133201599121,78.97636413574219,26.820823669433594,8.837779998779297,12.917929649353027,28.889375686645508
2012-06-11,102.54217529296875,19.22881507873535,11.616683959960938,11.458187103271484,23.172054290771484,79.18846130371094,26.474016189575195,8.675271987915039,12.67884349822998,28.63673973083496
2012-06-12,103.7204360961914,19.500823974609375,11.733142852783203,11.4706392288208,23.28133201599121,78.76421356201172,26.897903442382812,8.806528091430664,12.914190292358398,28.905183792114258
2012-06-13,103.05716705322266,19.25299072265625,11.662437438964844,11.473756790161133,23.247182846069336,79.18118286132812,26.628149032592773,8.775272369384766,12.716202735900879,28.873594284057617
